server;id;name;owner;lastuser;msg;datetime
http://192.168.0.216:80;LH9ZMA;minhaApp1;MASTER;MASTER;Macro Iniciada;08/09/2023 17:50:43
http://192.168.0.216:80;LH9ZMA;minhaApp1;MASTER;MASTER;Execução interrompida por solicitação do usuário.;08/09/2023 17:50:57
http://192.168.0.216:80;AXTOLE;minhaApp1;MASTER;MASTER;Macro Iniciada;08/09/2023 17:51:21
http://192.168.0.216:80;AXTOLE;minhaApp1;MASTER;MASTER;Macro Finalizada;08/09/2023 17:52:04
http://192.168.0.216:80;SWUYVW;minhaApp1;MASTER;MASTER;Macro Iniciada;08/09/2023 17:52:49
http://192.168.0.216:80;SWUYVW;minhaApp1;MASTER;MASTER;Macro Finalizada;08/09/2023 17:53:23
http://192.168.0.216:80;LDWPCX;minhaApp1;MASTER;MASTER;Macro Iniciada;08/09/2023 17:53:35
http://192.168.0.216:80;LDWPCX;minhaApp1;MASTER;MASTER;Execução interrompida por solicitação do usuário.;08/09/2023 17:53:53
http://192.168.0.216:70;Q89YJS;minhaApp1;MASTER;MASTER;Macro Iniciada;09/09/2023 11:12:45
http://192.168.0.216:70;Q89YJS;minhaApp1;MASTER;MASTER;Macro Finalizada;09/09/2023 11:13:35
http://192.168.0.216:70;JBRXEI;minhaApp1;MASTER;MASTER;Macro Iniciada;09/09/2023 21:12:16
http://192.168.0.216:70;JBRXEI;minhaApp1;MASTER;MASTER;Macro Finalizada;09/09/2023 21:13:03
http://192.168.0.216:70;JYIMRK;minhaApp1;MASTER;MASTER;Macro Iniciada;09/09/2023 23:47:13
http://192.168.0.216:70;JYIMRK;minhaApp1;MASTER;MASTER;Execução interrompida por solicitação do usuário.;09/09/2023 23:47:27
http://192.168.0.216:70;RKLGIL;minhaApp1;MASTER;MASTER;Macro Iniciada;09/09/2023 23:53:04
http://192.168.0.216:70;RKLGIL;minhaApp1;MASTER;MASTER;Macro Finalizada;09/09/2023 23:53:44
http://192.168.0.216:70;GBP7B5;automacaoWeb;MASTER;MASTER;Macro Iniciada;10/09/2023 13:20:51
http://192.168.0.216:70;GBP7B5;automacaoWeb;MASTER;MASTER;Execução interrompida por solicitação do usuário.;10/09/2023 13:21:42
http://192.168.0.216:70;FTCR1U;automacaoWeb;MASTER;MASTER;Macro Iniciada;10/09/2023 13:26:56
http://192.168.0.216:70;FTCR1U;automacaoWeb;MASTER;MASTER;Macro Finalizada;10/09/2023 13:28:28
http://192.168.0.216:70;AKASDK;novaMacroWeb;MASTER;MASTER;Macro Iniciada;10/09/2023 13:46:55
http://192.168.0.216:70;AKASDK;novaMacroWeb;MASTER;MASTER;Macro Finalizada;10/09/2023 13:48:09
http://192.168.0.216:70;YRB5TM;minhaApp1;MASTER;MASTER;Macro Iniciada;10/09/2023 14:07:40
http://192.168.0.216:70;YRB5TM;minhaApp1;MASTER;MASTER;Macro Finalizada;10/09/2023 14:09:59
http://192.168.0.216:70;JGUYJL;minhaApp1;c084604;c084604;Macro Iniciada;10/09/2023 14:33:27
http://192.168.0.216:70;JGUYJL;minhaApp1;c084604;c084604;Execução interrompida por solicitação do usuário.;10/09/2023 14:33:39
http://192.168.0.216:70;ZDI9DN;minhaApp1;c084604;c084604;Macro Iniciada;10/09/2023 14:46:52
http://192.168.0.216:70;ZDI9DN;minhaApp1;c084604;c084604;Tempo excedido de espera. Macro encerrada.;10/09/2023 14:47:55
http://192.168.0.216:70;IAMC2K;minhaApp1;c084604;c084604;Macro Iniciada;10/09/2023 14:48:43
http://192.168.0.216:70;IAMC2K;minhaApp1;c084604;c084604;Tempo excedido de espera. Macro encerrada.;10/09/2023 14:50:01
http://192.168.0.216:70;F6PQZL;minhaApp2;c084604;c084604;Macro Iniciada;10/09/2023 14:58:41
http://192.168.0.216:70;LKJ1VK;minhaApp2;c084604;c084604;Macro Iniciada;10/09/2023 14:58:55
http://192.168.0.216:70;2OOGLD;minhaApp2;c084604;c084604;Macro Iniciada;10/09/2023 14:59:32
http://192.168.0.216:70;2OOGLD;minhaApp2;c084604;c084604;Tempo excedido de espera. Macro encerrada.;10/09/2023 15:00:34
http://192.168.0.216:70;CWS2LR;minhaApp2;c084604;c084604;Macro Iniciada;10/09/2023 15:00:41
http://192.168.0.216:70;CWS2LR;minhaApp2;c084604;c084604;Macro Finalizada;10/09/2023 15:04:44
http://192.168.0.216:70;LT5NWR;minhaApp1;MASTER;MASTER;Macro Iniciada;10/09/2023 15:13:25
http://192.168.0.216:70;LT5NWR;minhaApp1;MASTER;MASTER;Execução interrompida por solicitação do usuário.;10/09/2023 15:14:09
http://192.168.0.216:70;UGVRBU;minhaApp1;MASTER;MASTER;Macro Iniciada;10/09/2023 15:14:31
http://192.168.0.216:70;UGVRBU;minhaApp1;MASTER;MASTER;Execução interrompida por solicitação do usuário.;10/09/2023 15:14:46
http://192.168.0.216:70;GHVJJE;minhaApp1;MASTER;MASTER;Macro Iniciada;10/09/2023 15:15:19
http://192.168.0.216:70;GHVJJE;minhaApp1;MASTER;MASTER;Execução interrompida por solicitação do usuário.;10/09/2023 15:15:33
http://192.168.0.216:70;QWCDN7;minhaApp1;MASTER;MASTER;Macro Iniciada;10/09/2023 15:17:42
http://192.168.0.216:70;QWCDN7;minhaApp1;MASTER;MASTER;Tempo excedido de espera. Macro encerrada.;10/09/2023 15:18:45
http://192.168.0.216:70;QN50T6;minhaApp1;MASTER;MASTER;Macro Iniciada;10/09/2023 15:21:32
http://192.168.0.216:70;QN50T6;minhaApp1;MASTER;MASTER;Execução interrompida por solicitação do usuário.;10/09/2023 15:21:44
http://192.168.0.216:70;1GEIFC;minhaApp1;MASTER;MASTER;Macro Iniciada;10/09/2023 15:40:07
http://192.168.0.216:70;1GEIFC;minhaApp1;MASTER;MASTER;Macro Finalizada;10/09/2023 15:41:56
